鄉鎮市區,交易標的,土地位置建物門牌,土地移轉總面積平方公尺,都市土地使用分區,非都市土地使用分區,非都市土地使用編定,交易年月日,交易筆棟數,移轉層次,總樓層數,建物型態,主要用途,主要建材,建築完成年月,建物移轉總面積平方公尺,建物現況格局-房,建物現況格局-廳,建物現況格局-衛,建物現況格局-隔間,有無管理組織,總價元,單價元平方公尺,車位類別,車位移轉總面積平方公尺,車位總價元,備註,編號,主建物面積,附屬建物面積,陽台面積,電梯,移轉編號
The villages and towns urban district,transaction sign,land sector position building sector house number plate,land shifting total area square meter,the use zoning or compiles and checks,the non-metropolis land use district,non-metropolis land use,transaction year month and day,transaction pen number,shifting level,total floor number,building state,main use,main building materials,construction to complete the years,building shifting total area,Building present situation pattern - room,building present situation pattern - hall,building present situation pattern - health,building present situation pattern - compartmented,Whether there is manages the organization,total price NTD,the unit price (NTD / square meter),the berth category,berth shifting total area square meter,the berth total price NTD,the note,serial number,main building area,auxiliary building area,balcony area,elevator,transaction number
三重區,建物,新北市三重區忠孝路三段１５７號三樓,0.0,,,,1130903,土地0建物1車位1,三層,十四層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1121212,187.47,3,2,2,有,有,11810000,61701,坡道平面,34.96,2400000,建物坐落地號：三重段159地號；親友、員工、共有人或其他特殊關係間之交易；,RPSPMLQKRHJGFGF86DA,86.69,6.53,8.35,有,
中和區,房地(土地+建物),新北市中和區景新街１３２巷８之６號七樓,25.01,住,,,1130904,土地1建物1車位0,七層,九層,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,0890415,119.52,3,2,2,有,有,20300000,169846,,0.0,0,陽台外推；,RPVNMLNKRHJGFHF76DA,86.37,0.83,13.83,有,
中和區,房地(土地+建物)+車位,新北市中和區景平路２８８號八樓之三,4.05,住,,,1130904,土地1建物1車位1,八層,二十五層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0910816,71.69,2,2,1,有,有,12400000,219935,坡道機械,22.13,1500000,夾層；,RPXOMLNKRHJGFHF07DA,31.95,1.9,2.74,有,
新莊區,土地,立德段914地號,4.09,住,,,1130905,土地1建物0車位0,,,其他,,,,0.0,0,0,0,無,無,1855950,453778,,0.0,0,未登記建物；,RPSNMLSKRHJGFBF09EA,0.0,0.0,0.0,無,
萬里區,土地,下萬里加投段清水溪小段33-1地號,601.33,,山坡地保育區,農牧用地,1130912,土地1建物0車位0,,,其他,,,,0.0,0,0,0,無,無,711000,1182,,0.0,0,地清或未辦繼承標售；,RPRNMLTKRHJGFDF66EA,0.0,0.0,0.0,無,
金山區,土地,頂角段半嶺子小段216-1地號,228.0,,山坡地保育區,農牧用地,1130912,土地1建物0車位0,,,其他,,,,0.0,0,0,0,無,無,201000,882,,0.0,0,地清或未辦繼承標售；,RPSNMLTKRHJGFDF76EA,0.0,0.0,0.0,無,
平溪區,土地,十分寮段頂寮子小段117地號,129.33,,山坡地保育區,農牧用地,1130904,土地1建物0車位0,,,其他,,,,0.0,0,0,0,無,無,100010,773,,0.0,0,政府機關標讓售；,RPPNMLTKRHJGFFF66EA,0.0,0.0,0.0,無,
中和區,土地,新民段707地號,19.61,工,,,1130912,土地1建物0車位0,,,其他,,,,0.0,0,0,0,無,無,4746000,242019,,0.0,0,地清或未辦繼承標售；,RPUOMLQKRHJGFHF17EA,0.0,0.0,0.0,無,
永和區,土地,保平段718地號,170.71,都市：其他:道路用地,,,1130903,土地5建物0車位0,,,其他,,,,0.0,0,0,0,無,無,32888000,192654,,0.0,0,未登記建物；包含公共設施保留地用地；,RPPNMLSKRHJGFHF76EA,0.0,0.0,0.0,無,
中和區,車位,新北市中和區景平路２９０號地下二層等,0.31,住,,,1130904,土地1建物1車位1,,,其他,,,,22.13,0,0,0,無,有,1500000,,坡道機械,22.13,1500000,僅車位交易；,RPVNMLSKRHJGFHF37EA,0.0,0.0,0.0,有,
