編號,屋齡,建物移轉面積平方公尺,主要用途,主要建材,建築完成日期,總層數,建物分層,移轉情形
The serial number,room age,building shifting area square meter,the main use,main building materials,construction completes the date,total layer,building lamination,
RPQNMLLKRHJGFAT76DA,32,50.12,避難室，停車空間，受電室，騎樓，樓梯間，門廊,鋼筋混凝土造,81年2月13日,,,持分移轉
RPSNMLLKRHJGFAT96DA,,94.59,集合住宅,鋼筋混凝土造,113年1月31日,五層,三層 陽台,全筆移轉
RPSNMLLKRHJGFAT96DA,,43.67,公共梯間、電信室、騎樓、停車空間、樓梯間、機械房,鋼筋混凝土造,113年1月31日,五層,,持分移轉
RPSNMLRKQHJGFCT67DA,1,158.58,門廊、住宅,鋼筋混凝土構造,112年3月17日,三層,一層 二層 三層 陽台 見其他登記事項,全筆移轉
RPVNMLLKRHJGFCT47DA,40,325.75,農舍,加強磚造,72年12月19日,一層,一層,全筆移轉
RPTNMLLKRHJGFAT07DA,,97.69,集合住宅,鋼筋混凝土造,113年1月31日,五層,三層 陽台,全筆移轉
RPTNMLLKRHJGFAT07DA,,44.19,公共梯間、電信室、騎樓、停車空間、樓梯間、機械房,鋼筋混凝土造,113年1月31日,五層,,持分移轉
RPTNMLKKRHJGFDT27DA,37,125.29,店舖　住宅,加強磚造,76年6月29日,二層,一層 二層 屋頂突出物,全筆移轉
RPPNMLQJRHJGFAT07DA,,63.03,集合住宅,鋼筋混凝土造,113年1月31日,五層,四層 陽台,全筆移轉
RPPNMLQJRHJGFAT07DA,,38.80,本件共有部分項目：機電設備、電樓梯間、停車空間、樓梯間等共４項。,鋼筋混凝土造,113年1月31日,五層,,持分移轉
RPQNMLOLPHJGFAT96DA,,200.70,住家用,鋼筋混凝土造,113年5月13日,三層,一層 二層 三層 陽台,全筆移轉
RPUNMLRKRHJGFAT77DA,32,77.09,住家用,鋼筋混凝土造,81年2月20日,七層,四層 陽台,全筆移轉
RPUNMLRKRHJGFAT77DA,32,28.04,樓梯間，机械室，水箱,鋼筋混凝土造,81年2月20日,七層,,持分移轉
RPRNMLQKRHJGFDT67DA,1,56.30,集合住宅,鋼筋混凝土造,112年6月8日,五層,四層 陽台,全筆移轉
RPRNMLQKRHJGFDT67DA,1,15.50,本共有部分之項目有騎樓、停車空間、共同梯間、樓梯間等４項,鋼筋混凝土造,112年6月8日,五層,,持分移轉
RPPNMLQJQHJGFAT07EA,41,98.46,住商用,加強磚造,72年6月18日,二層,一層 二層,全筆移轉
RPTNMLQJRHJGFAT47DA,39,159.41,住家用,加強磚造,73年12月14日,二層,一層 二層 屋頂突出物,全筆移轉
RPRNMLPJRHJGFCT37DA,,167.97,住宅,鋼筋混凝土造,113年7月8日,三層,一層 二層 三層 陽台,全筆移轉
RPSNMLPJRHJGFCT47DA,,173.62,住宅,鋼筋混凝土造,113年7月8日,三層,一層 二層 三層 陽台,全筆移轉
