編號,屋齡,建物移轉面積平方公尺,主要用途,主要建材,建築完成日期,總層數,建物分層,移轉情形
The serial number,room age,building shifting area square meter,the main use,main building materials,construction completes the date,total layer,building lamination,
RPOOMLNKQHJGFAE97CC,38,3.38,,鋼筋混凝土造,75年2月17日,十六層,,
RPTNMLNKQHJGFBE48CC,10,19.11,住商用,鋼筋混凝土造,103年6月12日,四層,,
RPSOMLNKQHJGFAE38CC,11,150.48,住家用,鋼筋混凝土造,102年3月1日,二十七層,,
RPSOMLNKQHJGFAE38CC,11,87.79,本共有部分之項目有樓梯間、避難室兼停車空間、廣場式頂蓋型開放空間、公共服務空間、機械室、水箱、梯廳、車道、管委會使用空間、環保室、卸貨空間等１１項。,鋼筋混凝土造,102年3月1日,二十七層,,
RPPNMLNKQHJGFBE08CC,26,23.39,住家用,鋼筋混凝土造,87年8月3日,十四層,,
RPQNMLNKQHJGFBE18CC,25,24.32,商業用,鋼骨鋼筋混凝土造,88年4月1日,八十五層,,
RPUNMLNKQHJGFBE58CC,28,30.82,住家用,鋼筋混凝土造,85年9月20日,十六層,,
RPPNMLNKQHJGFBE08CC,26,9.09,停車空間、機械室、電樓梯間、避難室、水箱、受電室,鋼筋混凝土造,87年8月3日,十四層,,
RPQNMLNKQHJGFBE18CC,25,7.27,機房，電樓梯間，走道，排煙室,鋼骨鋼筋混凝土造,88年4月1日,八十五層,,
RPUNMLNKQHJGFBE58CC,28,24.71,見使用執照,鋼筋混凝土造,85年9月20日,十六層,,
RPQNMLNKQHJGFBE18CC,25,1.13,水箱、電樓梯間、控制室、機房、排煙室,鋼骨鋼筋混凝土造,88年4月1日,八十五層,,
RPQNMLNKQHJGFBE18CC,25,2.19,門廳，電樓梯間，機房，走道，陽台，鍋爐室,鋼骨鋼筋混凝土造,88年4月1日,八十五層,,
RPSNMLNKQHJGFBE38CC,30,50.49,住家用,鋼筋混凝土造,83年6月15日,九層,,
RPSNMLNKQHJGFBE38CC,30,28.27,見使用執照,鋼筋混凝土造,83年6月15日,十層,,
RPVNMLNKQHJGFBE68CC,27,102.33,住家用,鋼筋混凝土造,86年4月21日,三十五層,,
RPVNMLNKQHJGFBE68CC,27,33.29,見使用執照,鋼筋混凝土造,86年4月21日,三十五層,,
RPQNMLNKQHJGFCE28CC,19,54.30,住家用,鋼筋混凝土造,94年12月28日,十五層,,
RPQNMLNKQHJGFCE28CC,19,25.75,共有部份,鋼筋混凝土造,94年12月28日,十五層,,
RPWNMLNKQHJGFBE78CC,45,73.66,,鋼筋混凝土造,68年6月27日,五層,,
